,User,URL,Date Created,Tweet,Likes,Retweets,Followers,ProfileURL,DisplayName,User Info,Cleaned Tweet,Polarity,Subjectivity
0,jondave2350,https://twitter.com/jondave2350/status/1582958126504218624,2022-10-20 04:53:21+00:00,@elonmusk I think putting you on the SpaceX flight straight into the corona of the sun you and Donald Trump one on one side Donald Trump on the other you probably win survive the atmosphere of planet earth you probably will die instantly because it’s so much heat before the cold Universe,0,0,65,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,Jonathan Thatcher,https://twitter.com/jondave2350,i think putting you on the spacex flight straight into the corona of the sun you and donald trump one on one side donald trump on the other you probably win survive the atmosphere of planet earth you probably will die instantly because its so much heat before the cold universe,0.07916666666666666,0.5069444444444445
1,Sweetart2517,https://twitter.com/Sweetart2517/status/1582958109017837568,2022-10-20 04:53:17+00:00,@DonaldJTrumpJr Wait until you hear about George Washington's inoculation mandate for the Continental Army.,0,0,2318,https://pbs.twimg.com/profile_images/1528605096329854978/OlfHpgc5_normal.jpg,Rachel,https://twitter.com/Sweetart2517,wait until you hear about george washington inoculation mandate for the continental army,0.0,0.0
2,em_jons,https://twitter.com/em_jons/status/1582958105746608130,2022-10-20 04:53:17+00:00,"@MarshaBlackburn What do you think about the hundred of millions of dollar bank loans Donald Trump has defaulted on, the contractors, large &amp; small, he refused to pay, forcing many to fold.
Come on Marsha. tell us what you think of the devastation Trump has caused thousands he cheated.
#Vote🌊🌊",0,0,159,https://pbs.twimg.com/profile_images/1272032927967297536/FnkrmH_d_normal.jpg,JONS EM,https://twitter.com/em_jons,"what do you think about the hundred of millions of dollar bank loans donald trump has defaulted on the contractors large  small he refused to pay forcing many to fold
come on marsha tell us what you think of the devastation trump has caused thousands he cheated",0.15476190476190477,0.44285714285714284
3,ConservativeO17,https://twitter.com/ConservativeO17/status/1582958035411951617,2022-10-20 04:53:00+00:00,"Biden’s Latest Handshake Could End His Presidency

#Trump #trumpRally #DonaldTrump 

#trumpwon #TrumpWasRightAboutEverything 

#TRUMP2024ToSaveAmerica

#MAGA #2AMaga #ULTRAMAGA

https://t.co/zDj7gEHJVz",0,0,3308,https://pbs.twimg.com/profile_images/1531666468517068800/cCRy1Bg0_normal.jpg,Conservative Opinion,https://twitter.com/ConservativeO17,bidens latest handshake could end his presidency,0.5,0.9
4,RacquelRMorris,https://twitter.com/RacquelRMorris/status/1582958009797337088,2022-10-20 04:52:54+00:00,"@KOB4 @koat7news @krqe @abc7breaking @thenewmexican @ABQJournal @GovMLG @Gabe_NM @ACLUNM @ProgressNowNM @NMSecOfState @NewMexicoOAG 

https://t.co/5a5kvMBLoq

Couy Griffin &amp; David and Erin Clements ties to Donald Trump &amp; Mike Lindell. Documented with videos, phots &amp; private chat.",0,0,1459,https://pbs.twimg.com/profile_images/1495210015069777925/r30sIau3_normal.jpg,RacquelMorris 🏳️‍🌈🏳️‍⚧️🇺🇦😷💉💙🌊,https://twitter.com/RacquelRMorris,couy griffin  david and erin clements ties to donald trump  mike lindell documented with videos phots  private chat,0.0,0.375
5,SocratesBigBird,https://twitter.com/SocratesBigBird/status/1582958003325906946,2022-10-20 04:52:52+00:00,"The current economically depressed state of world is due- in part to Former President Donald Trump’s DISASTROUS Covid response &amp; promotion of shitinformation 
-caused massively ballooned global spread, millions more deaths,trillions lost globally. 
World still hurting from this. https://t.co/6dDco9voAu",2,0,19668,https://pbs.twimg.com/profile_images/1582446389157629953/FaH4vlks_normal.jpg,PointLogic,https://twitter.com/SocratesBigBird,"the current economically depressed state of world is due in part to former president donald trumps disastrous covid response  promotion of shitinformation 
caused massively ballooned global spread millions more deathstrillions lost globally 
world still hurting from this",-0.002777777777777768,0.44166666666666665
6,DRJEnglish21,https://twitter.com/DRJEnglish21/status/1582957993133760512,2022-10-20 04:52:50+00:00,"@HudsonRiverVale @DengistDuck @Comrade_Cash Be honest with yourself, which side do you think conservatives and far-righters like Tucker Carlson and Donald Trump (the same guy who literally quoted Mussolini and have a huge soft spots to right-wing authoritarians) would MOST LIKELY join?",0,0,871,https://pbs.twimg.com/profile_images/1530294937971044354/Wax0eBqe_normal.jpg,🌻De'Narde English🌹🏳️‍🌈,https://twitter.com/DRJEnglish21,be honest with yourself which side do you think conservatives and farrighters like tucker carlson and donald trump the same guy who literally quoted mussolini and have a huge soft spots to rightwing authoritarians would most likely join,0.26666666666666666,0.6291666666666667
7,ConservativeO17,https://twitter.com/ConservativeO17/status/1582957783812636673,2022-10-20 04:52:00+00:00,"Biden Just Gave His Confession to the Entire Nation

#Trump #trumpRally #DonaldTrump 

#trumpwon #TrumpWasRightAboutEverything 

#TRUMP2024ToSaveAmerica

#MAGA #2AMaga #ULTRAMAGA

https://t.co/l14n0dJk5w",0,0,3308,https://pbs.twimg.com/profile_images/1531666468517068800/cCRy1Bg0_normal.jpg,Conservative Opinion,https://twitter.com/ConservativeO17,biden just gave his confession to the entire nation,0.0,0.625
8,MaybeImALeo,https://twitter.com/MaybeImALeo/status/1582957746478993408,2022-10-20 04:51:51+00:00,"""The Trump Organization charged the Secret Service up to $1,185 per night for hotel rooms used by agents protecting former President Donald J. Trump and his family…"" – NYT",0,0,859,https://pbs.twimg.com/profile_images/1521324008699949056/B3V3z2vu_normal.jpg,The Sage Grouse,https://twitter.com/MaybeImALeo,the trump organization charged the secret service up to  per night for hotel rooms used by agents protecting former president donald j trump and his family  nyt,-0.2,0.35
9,alvin_awgaines,https://twitter.com/alvin_awgaines/status/1582957716095455233,2022-10-20 04:51:44+00:00,Donald Trump has lied repeatedly since he took office to the American people about the pandemic he has lied about voting which he claim he won and cannot prove he is also lied about holding documents in Florida which is against the law.,0,0,8,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,Againes,https://twitter.com/alvin_awgaines,donald trump has lied repeatedly since he took office to the american people about the pandemic he has lied about voting which he claim he won and cannot prove he is also lied about holding documents in florida which is against the law,0.0,0.0
10,randomtrump1,https://twitter.com/randomtrump1/status/1582957692498636802,2022-10-20 04:51:38+00:00,Random Trump https://t.co/AMinilW2Uk - #randomtrump #trump #donaldtrump #giphy #gif #gifs https://t.co/Ws2zdCJhyv,0,0,140,https://pbs.twimg.com/profile_images/1167060770536009728/ky7lZ8pT_normal.jpg,RandomTrump.com,https://twitter.com/randomtrump1,random trump,-0.5,0.5
11,bulletin_ex,https://twitter.com/bulletin_ex/status/1582957677751066624,2022-10-20 04:51:34+00:00,Former President Donald Trump made insensitive comments about Jews in 2021 music video with Alex Holder https://t.co/uvHEMgz8pG,0,0,147,https://pbs.twimg.com/profile_images/1482136046737444864/70ycg2Hw_normal.jpg,ExBulletin,https://twitter.com/bulletin_ex,former president donald trump made insensitive comments about jews in  music video with alex holder,0.0,0.0
12,stephfinebot,https://twitter.com/stephfinebot/status/1582957654455951361,2022-10-20 04:51:29+00:00,Does Donald Trump think dressing like that makes people respect him? This is Goldman Sachs not an OBGYN office!,0,0,19,https://pbs.twimg.com/profile_images/1193781327688011776/L1Pa68GE_normal.jpg,men'scelebgossipbot,https://twitter.com/stephfinebot,does donald trump think dressing like that makes people respect him this is goldman sachs not an obgyn office,0.0,0.0
13,Raptured_Night,https://twitter.com/Raptured_Night/status/1582957649339252736,2022-10-20 04:51:28+00:00,"In newly released audio recordings from a 2020 interview, Donald Trump admitted he preferred world leaders “the tougher and meaner they are.” https://t.co/XQq3cGgh9d via @HuffPostPol",0,0,1271,https://pbs.twimg.com/profile_images/1062196157860859904/3yke7VZP_normal.jpg,Raptured Night,https://twitter.com/Raptured_Night,in newly released audio recordings from a  interview donald trump admitted he preferred world leaders the tougher and meaner they are  via,0.13636363636363635,0.45454545454545453
14,medievalsocks,https://twitter.com/medievalsocks/status/1582957598940499969,2022-10-20 04:51:16+00:00,"@dink________ @2022ccr @Onlyone12316275 @indianacpusa the anti-trans movement and reactionaries like donald trump, both of which you support, want to force children to conform to the gender they were assigned at birth.",0,0,920,https://pbs.twimg.com/profile_images/1472786680830742534/5agSb3nt_normal.jpg,medieval socialist☭,https://twitter.com/medievalsocks,the antitrans movement and reactionaries like donald trump both of which you support want to force children to conform to the gender they were assigned at birth,0.0,0.0
15,ConservativeO17,https://twitter.com/ConservativeO17/status/1582957531978117120,2022-10-20 04:51:00+00:00,"Biden is Increasingly Vulnerable to Impeachment

#Trump #trumpRally #DonaldTrump 

#trumpwon #TrumpWasRightAboutEverything 

#TRUMP2024ToSaveAmerica

#MAGA #2AMaga #ULTRAMAGA

https://t.co/6znqcyt09o",0,0,3308,https://pbs.twimg.com/profile_images/1531666468517068800/cCRy1Bg0_normal.jpg,Conservative Opinion,https://twitter.com/ConservativeO17,biden is increasingly vulnerable to impeachment,-0.5,0.5
16,jdallen_wa,https://twitter.com/jdallen_wa/status/1582957409345372160,2022-10-20 04:50:30+00:00,"@DonaldJTrumpJr You ever remain, Putin's chew toy, *and* a demented Kumquat.",0,0,154,https://pbs.twimg.com/profile_images/745121652933959680/-oRBWLAS_normal.jpg,Jeff Allen,https://twitter.com/jdallen_wa,you ever remain putin chew toy and a demented kumquat,0.0,0.0
17,business_lend,https://twitter.com/business_lend/status/1582957332929327104,2022-10-20 04:50:12+00:00,Ron DeSantis is Donald Trump with brains and without the drama https://t.co/kAFBdXBbq3,0,0,240,https://pbs.twimg.com/profile_images/1373533189826772996/6VGU9Pan_normal.jpg,BusinessLend,https://twitter.com/business_lend,ron desantis is donald trump with brains and without the drama,0.0,0.0
